ID,step,angle,x,y,time,states
C7,14.394454113201627,1.155418797687771,488316.05419932003,4319625.005136435,2022-02-17T08:00:21Z,1
C7,42.366020738760774,0.04411449351777774,488303.9241797228,4319617.255108449,2022-02-17T07:00:12Z,1
C7,31.30204661558417,-2.738143896348037,488269.2635437137,4319592.892842038,2022-02-17T06:00:15Z,1
C7,681.4454821473236,-1.793300904406825,488285.74973575695,4319619.501554788,2022-02-17T05:00:15Z,3
C7,657.5956639323246,-0.9323741591990116,488771.5404850014,4319141.615278476,2022-02-17T04:00:21Z,3
C7,920.3333926884578,0.7405359052888423,488680.57608013204,4318490.3415002,2022-02-17T03:00:16Z,3
C7,62.85128254519384,-2.4419733524686165,489201.57308477105,4317731.674461998,2022-02-17T02:00:22Z,1
C7,14.247422085072623,-3.109401362671736,489140.9890492205,4317748.403429509,2022-02-17T01:00:20Z,1
C7,26.21948375224374,-0.15493793133776312,489154.8374606777,4317745.05521563,2022-02-17T00:00:21Z,1
C7,47.08524733713551,1.7012193836969878,489179.0664952178,4317735.034476461,2022-02-16T23:00:32Z,1
C7,115.77132567553299,-2.4325579425408894,489191.2502835754,4317780.516075136,2022-02-16T22:00:24Z,2
C7,76.60335573826006,-2.8295152951426887,489241.32477992773,4317676.134349419,2022-02-16T21:00:27Z,2
C7,28.20550732617993,-1.54460953092292,489188.5858768189,4317731.69226703,2022-02-16T20:00:11Z,1
C7,1.4075142353448564,1.4464248328219178,489208.526946546,4317751.639807772,2022-02-16T19:00:38Z,1
C7,119.9719196094884,2.2385659175160733,489207.6626544949,4317752.750706315,2022-02-16T18:00:19Z,2
C7,19.184856779631744,-0.3865124750590112,489178.9308929195,4317636.270032504,2022-02-16T17:00:12Z,2
C7,1074.4561402576635,-0.6709452031906844,489167.6538237296,4317620.749515755,2022-02-16T16:00:39Z,3
C7,424.6186374547516,-0.3909105806225277,488132.55555110145,4317332.604477034,2022-02-16T15:00:14Z,3
C7,23.625368371545324,-0.7325445384272151,487710.9605718128,4317383.187682869,2022-02-16T14:00:23Z,1
C7,398.5045370433335,-1.2817200587488808,487695.40294421476,4317400.967397552,2022-02-16T13:00:39Z,3
C7,1542.5041445510117,-0.13873918970185306,487908.05390378984,4317737.99178159,2022-02-16T12:00:28Z,3
C7,1063.4258087975072,1.489403773012159,488903.6690210589,4318916.155426514,2022-02-16T11:00:25Z,3
C7,187.70403707189416,-0.7477763895335592,488149.9196126116,4319666.312930031,2022-02-16T10:00:12Z,3
C7,665.237607682811,-2.3118731310510854,488142.4115491339,4319853.866747683,2022-02-16T09:00:11Z,3
C7,258.71044015627433,0.163942893217096,488650.7559244395,4319424.766443825,2022-02-16T08:00:34Z,3
C7,816.1288948710949,0.013286876740235543,488873.03577207914,4319292.392877056,2022-02-16T07:00:29Z,3
C7,110.35211258360992,-1.5742749701277,489579.72694480844,4318884.160150012,2022-02-16T06:00:22Z,3
C7,1043.998375074172,1.459258304855462,489524.19606904895,4318788.798152397,2022-02-16T05:00:11Z,3
C7,1330.3771333722482,-0.07953362058337365,490362.2969662711,4318166.287515353,2022-02-16T04:00:10Z,3
C7,1665.3644131445212,-0.42329777046690775,491363.89564037166,4317290.671496176,2022-02-16T03:00:33Z,3
C7,525.6570947251973,0.7279830618533332,492056.7920210692,4315776.295970032,2022-02-16T02:00:23Z,3
C7,12.15527933114542,-0.5515435207285985,492538.1041257949,4315564.980946715,2022-02-16T01:00:11Z,1
C7,43.29826518996245,-1.726479008401697,492545.0230947028,4315554.987014312,2022-02-16T00:00:14Z,1
C7,56.01152231147429,-2.336008055088681,492506.03281628585,4315536.158898171,2022-02-15T23:00:12Z,1
C7,55.64968550447943,-2.2135949835119337,492523.4043997119,4315589.408487098,2022-02-15T22:00:21Z,1
C7,56.29153167732165,3.0077380895200454,492555.4052472134,4315543.88010852,2022-02-15T21:00:39Z,1
C7,21.168239831896955,1.7714173764791994,492529.4709439151,4315593.841578185,2022-02-15T20:00:13Z,1
