ID,step,angle,TimeNum,locType,time,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,x,y,hour,State
35076,179.3803994751201,3.12081368576568,NA,p,2022-02-22T19:00:13Z,9.150256553240771,90.0926857522369,2.7868207692637852e-143,3.9289807838674897e-143,2.7868207692637852e-143,3.9289807838674897e-143,90.55616611275809,488827.90882617515,4319625.601457322,11,resting
35076,81.06840385327456,-3.0470009730585,NA,p,2022-02-22T20:00:13Z,-6.952125118535048,-50.49784320987807,2.7827845766426108e-143,3.929228931991618e-143,2.7827845766426108e-143,3.929228931991618e-143,50.97415239622131,488806.0792336161,4319447.5542821,12,resting
35076,40.73966178591156,-1.97617758134001,NA,p,2022-02-22T21:00:13Z,-1.706217484999911,19.21623894749286,2.784631034805149e-143,3.92944525346772e-143,2.784631034805149e-143,3.92944525346772e-143,19.29183810302328,488808.30064532824,4319528.592245014,13,resting
35076,59.3884780125821,-2.52586868423482,NA,p,2022-02-22T22:00:13Z,17.342662804679023,-0.6283254599781394,2.7693699644503974e-143,3.924714002319149e-143,2.7693699644503974e-143,3.924714002319149e-143,17.35404120199252,488845.2841372689,4319511.505953249,14,resting
35076,58.856902567437906,2.96632479646149,NA,p,2022-02-22T23:00:13Z,-21.59455467675162,-5.528709785457086,2.766600802428857e-143,3.9230307161683037e-143,2.766600802428857e-143,3.9230307161683037e-143,22.29106151754609,488786.8866431219,4319500.702065152,15,resting
35076,25.872797066652343,2.78617809884036,NA,p,2022-02-23T00:00:13Z,20.0926295897841,-1.991162883533263,2.7789746310464936e-143,3.926926278910771e-143,2.7789746310464936e-143,3.926926278910771e-143,20.19104983553426,488845.7418145754,4319501.153477394,16,resting
35076,19.572802999503697,-2.82336724927172,NA,p,2022-02-23T01:00:13Z,21.187924608825437,-0.6256369490658367,0,2.0056669713589039e-143,0,2.0056669713589039e-143,21.197159498888215,488821.41766951326,4319509.97036999,17,resting
35076,232.27528151185845,-1.90712102950058,NA,p,2022-02-23T02:00:13Z,18.02577242457995,-0.5322649326197725,2.7879060242411324e-143,3.9298562314669976e-143,2.7879060242411324e-143,3.9298562314669976e-143,18.03362907074568,488840.98194530024,4319509.392676136,18,meandering
35076,320.97963474420635,-0.640950790033549,NA,p,2022-02-23T03:00:13Z,-61.19832187264674,-242.86503004832423,0,2.0047094552577932e-143,0,2.0047094552577932e-143,250.45689733046186,488757.8883247742,4319292.488880344,19,meandering
35076,523.0095388111328,-1.70600665874297,NA,p,2022-02-23T04:00:13Z,-312.23288258561803,-142.81560930662428,0,2.0104850161092963e-143,0,2.0104850161092963e-143,343.34482845871827,488486.6211052027,4319120.902104902,20,meandering
35076,68.43914765494159,-0.431944300550153,NA,p,2022-02-23T05:00:13Z,-179.86148296903576,613.9545544714903,0,2.0115740105698319e-143,0,2.0115740105698319e-143,639.7580386459452,488269.16857438226,4319596.563091874,21,meandering
35076,321.4561435876661,1.53781104326643,NA,p,2022-02-23T06:00:13Z,48.25890987613681,-81.0033598150302,0,2.0111563837752642e-143,0,2.0111563837752642e-143,94.28927130780227,488269.3843775015,4319665.001899292,22,meandering
35076,499.61529261407077,2.10057818268689,NA,p,2022-02-23T07:00:13Z,-401.7969054466073,35.69605712741483,0,2.0109475378537346e-143,0,2.0109475378537346e-143,403.37942649683254,487948.1381205193,4319676.616313835,23,meandering
35076,103.11699702814823,1.75237848066046,NA,p,2022-02-23T08:00:13Z,393.93132182226367,-542.1804113418116,0,2.0109326194579464e-143,0,2.0109326194579464e-143,670.1801882743266,488184.8745366443,4319236.648917436,0,resting
35076,143.746052823422,1.18749585981662,NA,p,2022-02-23T09:00:13Z,-7.781963566223055,222.86009690091538,0,2.0109301330478884e-143,0,2.0109301330478884e-143,222.9959231637014,488265.36415969185,4319301.104604987,1,resting
35076,108.40697667320894,0.129267771769054,NA,p,2022-02-23T10:00:13Z,-48.000431620035314,107.14286323527004,0,2.0116063233147777e-143,0,2.0116063233147777e-143,117.40372471928421,488223.9945697627,4319438.7689966485,2,resting
35076,587.4889706580954,-2.85975984279374,455497.0105555556,p,2022-02-23T11:00:13Z,-40.83669696955437,91.15252698192114,2.791555122149659e-143,3.9320516273314613e-143,2.791555122149659e-143,3.9320516273314613e-143,99.88202538281386,488179.67245235643,4319537.701410447,3,meandering
35076,930.5141762693012,-0.249072493299595,NA,p,2022-02-23T12:00:13Z,441.91499447877834,-905.6748978559813,0,2.0107162902806546e-143,0,2.0107162902806546e-143,1007.7380031295936,488559.501027156,4319089.512226719,4,traveling
35076,3399.305421130121,-2.84304855115969,NA,p,2022-02-23T13:00:13Z,375.9622175626363,-770.509141447791,2.790637919902902e-143,3.9317235406371072e-143,2.790637919902902e-143,3.9317235406371072e-143,857.3400294452762,488967.55169686535,4318253.239972494,5,traveling
35076,1843.6094475327532,-2.98948620133857,NA,p,2022-02-23T14:00:13Z,-979.1520604778925,897.6269321516378,2.7876118811627984e-143,3.9307950849669066e-143,2.7876118811627984e-143,3.9307950849669066e-143,1328.3346215702063,486644.2493907578,4320734.679824789,6,traveling
35076,392.9641413602242,0.306660010719161,NA,p,2022-02-23T15:00:13Z,398.3656514300714,-149.73344190568415,0,2.0094874968508755e-143,0,2.0094874968508755e-143,425.5764277591371,488093.65881182,4319595.334343748,7,meandering
35076,657.5000181230026,-2.99824118165162,455492.0105555556,p,2022-02-23T16:00:13Z,338.91231477465993,-127.38675438823685,2.7898835101129216e-143,3.931268243200913e-143,2.7898835101129216e-143,3.931268243200913e-143,362.0620696779589,488461.49736196233,4319457.075103825,8,meandering
35076,199.32706388670297,-1.22023756859345,NA,p,2022-02-23T17:00:13Z,266.5412599415388,170.51485272139786,0,2.0113701797530951e-143,0,2.0113701797530951e-143,316.41674773915327,487819.30150114105,4319598.109674678,9,meandering
35076,202.67375176464685,0.356443722774211,NA,p,2022-02-23T18:00:13Z,-103.45846692877109,193.5816364780182,0,2.011141466928669e-143,0,2.011141466928669e-143,219.49374560738448,487792.5969471099,4319795.639786792,10,meandering
35076,411.97545384492486,2.60660391822032,NA,p,2022-02-23T19:00:13Z,-88.01800151191595,164.6909071630853,2.7908994965781187e-143,3.9318799574758118e-143,2.7908994965781187e-143,3.9318799574758118e-143,186.7358120242382,487697.0665911708,4319974.387096558,11,meandering
35076,209.08129610858836,-2.93670327249253,455488.0030555556,p,2022-02-23T20:00:13Z,-44.186320394080326,-134.15150591403895,2.7829085504198655e-143,3.929304009617987e-143,2.7829085504198655e-143,3.929304009617987e-143,141.24113228437653,487678.87661686447,4319562.813410074,12,meandering
35076,40.797838200982305,0.598577626286233,NA,p,2022-02-23T21:00:13Z,-30.416639738481415,32.047227473122284,0,2.0112135639956284e-143,0,2.0112135639956284e-143,44.18367075848962,487645.4171462839,4319769.200067131,13,resting
35076,99.35691167339019,2.8904549873583,NA,p,2022-02-23T22:00:13Z,-25.877165223531318,27.2643989411133,2.791313310970303e-143,3.9319066621678587e-143,2.791313310970303e-143,3.9319066621678587e-143,37.58956144498255,487617.3313597171,4319798.791488097,14,resting
35076,111.39139503952704,1.41120902601422,NA,p,2022-02-23T23:00:13Z,13.128515455973183,-31.2810674108219,2.7845969187658017e-143,3.929874043783082e-143,2.7845969187658017e-143,3.929874043783082e-143,33.924373191528694,487665.67567644804,4319711.989282266,15,resting
35076,141.65994855436892,2.66521597575288,NA,p,2022-02-24T00:00:13Z,56.24791329072403,5.980614646458861,2.7833576845242143e-143,3.929124584433534e-143,2.7833576845242143e-143,3.929124584433534e-143,56.56496708308286,487770.3680503913,4319750.035960531,16,resting
35076,14.310660436748252,-1.07192241715875,NA,p,2022-02-24T01:00:13Z,42.27795071540807,-21.070294864845792,0,2.0057367723607198e-143,0,2.0057367723607198e-143,47.23751096730246,487629.86341977824,4319768.091148171,17,resting
35076,25.87087204900038,0.308354532295249,NA,p,2022-02-24T02:00:13Z,-17.60496584339966,21.79606312382068,0,2.010557136716089e-143,0,2.010557136716089e-143,28.017908380977413,487624.67416610697,4319781.427813739,18,resting
35076,810.2725587933915,-2.51457902204998,NA,p,2022-02-24T03:00:13Z,-14.977545639531025,18.543150444197792,2.790539374386249e-143,3.9316637699579543e-143,2.790539374386249e-143,3.9316637699579543e-143,23.836428041558317,487608.4182838845,4319801.553625865,19,meandering
35076,245.83138793705706,-2.5311203669522,NA,p,2022-02-24T04:00:13Z,374.65931248867,-95.60214970196914,2.7797355989374236e-143,3.928285885726749e-143,2.7797355989374236e-143,3.928285885726749e-143,386.66441711401455,488390.54269604635,4319589.839140215,20,meandering
35076,559.2744054644284,1.46848407999216,NA,p,2022-02-24T05:00:13Z,37.50416758048402,-78.9571075496967,2.784074352455407e-143,3.9291093138267346e-143,2.784074352455407e-143,3.9291093138267346e-143,87.41159773462215,488159.28973758273,4319506.44165526,21,meandering
35076,548.5356526568643,-2.81658716512117,NA,p,2022-02-24T06:00:13Z,-2.663965982486843,220.9282770977727,0,2.0059910268991728e-143,0,2.0059910268991728e-143,220.94433764219008,488294.2961249343,4318963.706788145,22,meandering
35076,567.8816823933645,0.050842538450723,NA,p,2022-02-24T07:00:13Z,-357.1683728550977,500.6681742663427,0,2.0105770316006293e-143,0,2.0105770316006293e-143,615.0104611233462,487998.8388315068,4319425.871639682,23,meandering
35076,1390.2384330668192,-2.81871195360415,NA,p,2022-02-24T08:00:13Z,-303.86344699668143,425.946888908405,2.790551916736185e-143,3.9316714003080156e-143,2.790551916736185e-143,3.9316714003080156e-143,523.2243749974327,487669.04057717416,4319888.173182657,0,traveling
35076,1045.8841762157722,-0.0596833441445102,NA,p,2022-02-24T09:00:13Z,875.055164579135,-719.1998103085391,0,2.0081484008907305e-143,0,2.0081484008907305e-143,1132.6826158304257,488793.81176637835,4319071.073021898,1,traveling
35076,1797.873642626955,2.86374396058806,NA,p,2022-02-24T10:00:13Z,744.4591930012184,-611.8641796102496,2.789801068176725e-143,3.93077218876902e-143,2.789801068176725e-143,3.93077218876902e-143,963.6375170852104,489601.81070373114,4318406.986109442,2,traveling
35076,813.0418482315872,2.90475799531138,NA,p,2022-02-24T11:00:13Z,-198.50945623535654,473.68089412532686,2.7861460837508136e-143,3.930360034398883e-143,2.7861460837508136e-143,3.930360034398883e-143,513.594775746625,488579.24772710283,4319885.740515583,3,traveling
35076,250.52871699649046,3.06973601680005,NA,p,2022-02-24T12:00:13Z,62.82165939907006,-179.2710899411956,2.78363790748725e-143,3.929293829684921e-143,2.78363790748725e-143,3.929293829684921e-143,189.95969198321262,488871.865326031,4319127.181363128,4,traveling
35076,647.210810447699,1.5012958692187,NA,p,2022-02-24T13:00:13Z,59.94696216165853,-205.63838511924058,0,2.0066589147137083e-143,0,2.0066589147137083e-143,214.19800117382147,488798.71289968846,4319366.79221547,5,traveling
35076,728.7535227773831,-0.0725793035917741,NA,p,2022-02-24T14:00:13Z,-779.865100548792,-121.2409385128607,0,2.0106242811624449e-143,0,2.0106242811624449e-143,789.2331342673449,488168.0778142346,4319221.2545153545,6,traveling
35076,2403.2669926491885,-2.98167213701611,NA,p,2022-02-24T15:00:13Z,-663.4755920600749,-103.146561379825,2.7905805847529285e-143,3.9316879326823477e-143,2.7905805847529285e-143,3.9316879326823477e-143,671.4455111056659,487447.974444723,4319109.30437387,7,traveling
35076,1255.3921497587528,-3.09764820788269,NA,p,2022-02-24T16:00:13Z,846.8869260855689,320.25588653855795,2.7726575699137456e-143,3.9260298012113956e-143,2.7726575699137456e-143,3.9260298012113956e-143,905.4177480242264,489733.62414328655,4319851.933280803,8,traveling
35076,384.03048567874697,3.136234138727,NA,p,2022-02-24T17:00:13Z,-234.3186573965719,-86.35679876304255,2.7835912056191005e-143,3.9285951687594373e-143,2.7835912056191005e-143,3.9285951687594373e-143,249.72530888304587,488557.8659850235,4319411.930777454,9,meandering
35076,157.54798593603135,3.05238269845003,NA,p,2022-02-24T18:00:13Z,81.62020943572091,30.008272313511583,2.7772450378027496e-143,3.9272293032111065e-143,2.7772450378027496e-143,3.9272293032111065e-143,86.96180193379625,488918.2521333096,4319544.600435078,10,resting
35076,72.28299252100744,3.02988007849101,NA,p,2022-02-24T19:00:13Z,-41.44909588381752,-7.983049381637638,2.7813683682676765e-143,3.928148418784605e-143,2.7813683682676765e-143,3.928148418784605e-143,42.21085911250283,488766.14309104224,4319503.561342337,11,resting
35076,56.10238139023487,2.99897432412199,NA,p,2022-02-24T20:00:13Z,18.240148978888634,2.133039829146055,2.768886057605115e-143,3.9244184282515025e-143,2.768886057605115e-143,3.9244184282515025e-143,18.36444645734729,488837.59471915185,4319514.492757995,12,resting
35076,73.62573711569198,1.53638773114105,NA,p,2022-02-24T21:00:13Z,-20.082857880581308,0.6016391300250457,2.779138355677888e-143,3.9270255919716123e-143,2.779138355677888e-143,3.9270255919716123e-143,20.091867765203016,488781.49470939604,4319513.97690622,13,resting
35076,64.2905224420016,2.47777655626648,455462.0030555556,p,2022-02-24T22:00:13Z,-8.954381270752659,-35.6222792533623,2.7820118619445167e-143,3.9285366232224427e-143,2.7820118619445167e-143,3.9285366232224427e-143,36.73047403922977,488779.6385334269,4319440.374570819,14,resting
35076,6.805714599351222,-0.368576624817113,NA,p,2022-02-24T23:00:13Z,6.421073900098435,3.618623595267106,0,2.0105397285306248e-143,0,2.0105397285306248e-143,7.370524184530511,488820.5137127322,4319489.998063165,15,resting
35076,41.96545462344461,-1.48890761841239,NA,p,2022-02-25T00:00:13Z,5.462772734068208,3.0785688840581606,2.7905286237557208e-143,3.9316574113215906e-143,2.7905286237557208e-143,3.9316574113215906e-143,6.270524086387848,488826.44273423613,4319493.339388533,16,resting
35076,197.82777413176626,-0.844402894370301,NA,p,2022-02-25T01:00:13Z,13.640728382473906,-15.675527962787102,2.782096331905133e-143,3.929036777633927e-143,2.782096331905133e-143,3.929036777633927e-143,20.779596909385646,488849.967473123,4319458.5876109945,17,meandering
35076,314.0370363519822,0.275573034704453,NA,p,2022-02-25T02:00:13Z,8.926174134374271,-339.9819662037978,0,2.008454629808699e-143,0,2.008454629808699e-143,340.0991236808432,488801.15364193695,4319266.876792043,18,meandering
35076,909.4692493490193,-2.36902016824967,NA,p,2022-02-25T03:00:13Z,7.594003968721983,-289.2419934653819,2.7892472102701827e-143,3.9308866684248214e-143,2.7892472102701827e-143,3.9308866684248214e-143,289.3416659938644,488809.39579569723,4318952.947935291,19,meandering
35076,706.7349163052584,3.05062375462218,NA,p,2022-02-25T04:00:13Z,497.6575179515787,-581.5105758567187,0,2.0051733092179333e-143,0,2.0051733092179333e-143,765.3871928683799,488157.72980612994,4319587.3498217575,20,meandering
35076,430.9436808606159,-2.65229454393673,NA,p,2022-02-25T05:00:13Z,423.38555236504413,-494.72411745855896,2.787231601428198e-143,3.9296730143868194e-143,2.787231601428198e-143,3.9296730143868194e-143,651.1584126359758,488617.2514019643,4319050.400899711,21,meandering
35076,421.48145745155927,2.6087068206411,NA,p,2022-02-25T06:00:13Z,281.39886383283147,-359.4033739556567,0,2.0056021539677299e-143,0,2.0056021539677299e-143,456.4604098682799,488216.0416416561,4319207.700563751,22,meandering
35076,439.83745109286184,3.09950544861105,455453.0105555556,p,2022-02-25T07:00:13Z,239.40201665023645,-305.76488953771167,2.787866567825655e-143,3.9298320574803185e-143,2.787866567825655e-143,3.9298320574803185e-143,388.3368296340293,488475.87666938093,4318875.838578368,23,meandering
35076,368.9883921969263,-3.01771405234729,NA,p,2022-02-25T08:00:13Z,271.23500855950925,-293.4628717007292,0,2.011362722136412e-143,0,2.011362722136412e-143,399.6109194392912,488219.5367723274,4319233.255478587,0,meandering
35076,1101.2690769291032,-2.23173121130751,NA,p,2022-02-25T09:00:13Z,230.75504694953437,-249.66555422505328,2.7914064555345566e-143,3.931961342638047e-143,2.7914064555345566e-143,3.931961342638047e-143,339.9717350886465,488469.98680971947,4318962.280918256,1,traveling
35076,899.7117287356631,0.617894580091261,NA,p,2022-02-25T10:00:13Z,-441.23161411346337,-145.79389774613594,2.7830289254695136e-143,3.929376540877699e-143,2.7830289254695136e-143,3.929376540877699e-143,464.6947362658447,487372.7050114146,4318868.652744563,2,traveling
35076,3459.751046529552,2.9636398940226,NA,p,2022-02-25T11:00:13Z,-511.3741879532712,-341.9728386069954,2.7712794878900244e-143,3.9251929888860233e-143,2.7712794878900244e-143,3.9251929888860233e-143,615.1820726011069,486686.3186229696,4318286.969909522,3,traveling
35076,1783.9129323552804,-3.04204611729546,NA,p,2022-02-25T12:00:13Z,1255.1953519222802,708.8269491864338,2.7858517548498513e-143,3.9292874672133613e-143,2.7858517548498513e-143,3.9292874672133613e-143,1441.5099775514022,489680.0147638147,4320021.230766559,4,traveling
35076,482.8971811796241,1.40634461186036,NA,p,2022-02-25T13:00:13Z,232.24685675990878,-468.5746614204916,0,2.0104104058624441e-143,0,2.0104104058624441e-143,522.9730545641772,488232.91973774746,4318978.033117139,5,traveling
35076,1548.5687690873178,-2.93985488018426,NA,p,2022-02-25T14:00:13Z,197.5856089526746,-398.64311236845657,2.790449784532952e-143,3.9316090853491517e-143,2.790449784532952e-143,3.9316090853491517e-143,444.92291905903113,488447.36931882706,4318545.365733614,6,traveling
35076,617.7001385380887,-3.11356825649098,NA,p,2022-02-25T15:00:13Z,-384.3177689557036,435.0843776050482,2.7702869887432235e-143,3.925271965099997e-143,2.7702869887432235e-143,3.925271965099997e-143,580.5157734041874,487495.59841400397,4319766.9210444065,7,meandering
35076,6.118353455252224,-2.44918157587788,NA,p,2022-02-25T16:00:13Z,-54.86623449125095,-29.59597750519783,0,2.0058863377569523e-143,0,2.0058863377569523e-143,62.33959874539706,487888.749407908,4319290.490821664,8,resting
35076,61.839697907354406,-2.17920968354363,NA,p,2022-02-25T17:00:13Z,7.390798875013445,9.300411256315051,0,2.0109301330478884e-143,0,2.0109301330478884e-143,11.879459480443195,487882.7393925633,4319291.637104596,9,resting
35076,66.22309145209356,-0.0055335840583135,NA,p,2022-02-25T18:00:13Z,51.56842603152202,49.84284576035055,0,2.0109301330478884e-143,0,2.0109301330478884e-143,71.7189782195665,487926.9657779392,4319334.8594954815,10,resting
35076,210.77399597550374,-3.02404014018514,NA,p,2022-02-25T19:00:13Z,43.872192727682695,42.40414345703701,2.7907687113051835e-143,3.931802385675047e-143,2.7907687113051835e-143,3.931802385675047e-143,61.0154134384084,487974.5824712873,4319380.882841254,11,resting
35076,112.47727665795786,-1.6017735737341,NA,p,2022-02-25T20:00:13Z,-47.34050343652887,-62.500319948197514,2.770310451916896e-143,3.92528597684296e-143,2.770310451916896e-143,3.92528597684296e-143,78.40544151556739,487841.25435894576,4319217.636733064,12,resting
35076,56.69531104133118,0.534008376024764,NA,p,2022-02-25T21:00:13Z,-60.388276331842945,11.10294336228121,2.75959598492243e-143,3.9208085900742454e-143,2.75959598492243e-143,3.9208085900742454e-143,61.40048264987049,487756.38527352735,4319291.449849139,13,resting
35076,245.7858582398481,-3.01021995673361,NA,p,2022-02-25T22:00:13Z,-51.37574096412611,9.44590534403343,6.499368430855414e-143,4.864029193991334e-143,6.499368430855414e-143,4.864029193991334e-143,52.23688244316869,487700.6246025665,4319301.701964436,14,meandering
35076,384.48918938165957,1.87516290274665,NA,p,2022-02-25T23:00:13Z,54.79000678928733,0.9347170397423232,3.2352496039718473e-143,4.220308045628896e-143,3.2352496039718473e-143,4.220308045628896e-143,54.79797934152806,487946.09766726993,4319289.305891841,15,meandering
35076,410.9021938518375,-0.132467625974498,NA,p,2022-02-26T00:00:13Z,-53.90982275961672,441.72565076663363,0,2.0105347547356643e-143,0,2.0105347547356643e-143,445.00316800577866,487849.5173621571,4319661.467390945,16,meandering
35076,749.1803148866824,-3.13684683638964,NA,p,2022-02-26T01:00:13Z,-45.864152079789854,375.8011320987148,2.7908977050404403e-143,3.9316561395930837e-143,2.7908977050404403e-143,3.9316561395930837e-143,378.5895024068599,487799.73869531887,4320069.343226513,17,meandering
35076,114.00999243621771,-3.0987188820772,NA,p,2022-02-26T02:00:13Z,-20.775166571204593,121.7113898357889,0,2.006551768582111e-143,0,2.006551768582111e-143,123.4717375022344,487894.02625062794,4319326.119840762,18,meandering
35076,591.6716306891933,-2.43368283640703,455434.0102777778,p,2022-02-26T03:00:13Z,-17.674615688376047,103.54680107486405,2.7888169534768674e-143,3.930181929631247e-143,2.7888169534768674e-143,3.930181929631247e-143,105.04442894589535,487874.8431028764,4319438.504382482,19,meandering
