Collar ID,Acq. Time [UTC], Acq. Time [LMT],SCTS [UTC],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,3D Error,Mortality Status,Activity,Temp[°C],Main[V],Backup[V]
35077,2022-03-02 16:00:12,2022-03-02 16:00:12,2022-03-03 03:00:34,Iridium,39.01179,-123.07619,498,1,3D Validated,,Nothing Detected,,23,3.28,3.6
35074,2022-03-02 16:00:12,2022-03-02 16:00:12,2022-03-03 05:01:32,Iridium,39.05306,-123.11008,538,1,3D Validated,,Nothing Detected,,18,3.36,3.68
35076,2022-03-02 16:00:11,2022-03-02 16:00:11,2022-03-03 11:01:17,Iridium,39.02622,-123.13851,186,1.4,3D Validated,,Nothing Detected,,14,3.36,3.68
35076,2022-03-02 15:00:23,2022-03-02 15:00:23,2022-03-03 11:01:17,Iridium,39.01539,-123.15074,424,1.6,3D Validated,,Nothing Detected,,10,3.28,3.68
35077,2022-03-02 15:00:19,2022-03-02 15:00:19,2022-03-03 03:00:34,Iridium,39.00988,-123.07757,475,1.6,3D Validated,,Nothing Detected,,15,3.28,3.6
35074,2022-03-02 15:00:16,2022-03-02 15:00:16,2022-03-03 05:01:32,Iridium,39.04985,-123.11221,483,1.4,3D Validated,,Nothing Detected,,14,3.36,3.68
35078,2022-03-02 15:00:13,2022-03-02 15:00:13,2022-03-03 05:00:42,Iridium,38.99056,-123.10676,260,1.4,3D Validated,,Nothing Detected,,11,3.2,3.6
35076,2022-03-02 14:00:21,2022-03-02 14:00:21,2022-03-03 11:01:17,Iridium,39.01693,-123.14654,245,1.6,3D Validated,,Nothing Detected,,10,3.28,3.68
35078,2022-03-02 14:00:13,2022-03-02 14:00:13,2022-03-03 05:00:42,Iridium,38.98560,-123.09427,184,1.2,3D Validated,,Nothing Detected,,10,3.2,3.6
35074,2022-03-02 14:00:12,2022-03-02 14:00:12,2022-03-03 05:01:32,Iridium,39.04904,-123.11024,507,1.4,3D Validated,,Nothing Detected,,16,3.36,3.68
